File,Format,Type,Num_seqs,Sum_len,Min_len,Avg_len,Max_len
D11001.R1.fq.gz,FASTQ,DNA,"81,279",20233597,246,248.9,250
D11002.R1.fq.gz,FASTQ,DNA,"83,782",20856407,247,248.9,250
D11003.R1.fq.gz,FASTQ,DNA,"60,530",15067705,246,248.9,250
D11005.R1.fq.gz,FASTQ,DNA,"78,854",19630366,246,248.9,250
D11006.R1.fq.gz,FASTQ,DNA,"83,956",20898120,247,248.9,250
D11007.R1.fq.gz,FASTQ,DNA,"63,645",15842571,246,248.9,250
D11008.R1.fq.gz,FASTQ,DNA,"84,000",20908808,246,248.9,250
D11009.R1.fq.gz,FASTQ,DNA,"79,555",19804467,246,248.9,250
D11010.R1.fq.gz,FASTQ,DNA,"84,000",20908888,246,248.9,250
D11012.R1.fq.gz,FASTQ,DNA,"81,267",20231496,246,249,250
D11013.R1.fq.gz,FASTQ,DNA,"68,836",17134932,246,248.9,250
D11014.R1.fq.gz,FASTQ,DNA,"83,966",20901124,246,248.9,250
D11016.R1.fq.gz,FASTQ,DNA,"84,000",20910094,246,248.9,250
D11017.R1.fq.gz,FASTQ,DNA,"84,000",20908808,246,248.9,250
D11019.R1.fq.gz,FASTQ,DNA,"84,000",20909669,247,248.9,250
D11021.R1.fq.gz,FASTQ,DNA,"83,737",20843874,246,248.9,250
D11022.R1.fq.gz,FASTQ,DNA,"80,197",19963009,246,248.9,250
D11023.R1.fq.gz,FASTQ,DNA,"77,591",19315906,246,248.9,250
D11025.R1.fq.gz,FASTQ,DNA,"83,947",20895542,246,248.9,250
D11030.R1.fq.gz,FASTQ,DNA,"84,000",20909443,247,248.9,250
D11031.R1.fq.gz,FASTQ,DNA,"83,951",20896797,246,248.9,250
D11032.R1.fq.gz,FASTQ,DNA,"83,686",20830511,246,248.9,250
D11037.R1.fq.gz,FASTQ,DNA,"83,865",20875836,246,248.9,250
D11038.R1.fq.gz,FASTQ,DNA,"83,819",20864262,247,248.9,250
D11039.R1.fq.gz,FASTQ,DNA,"76,199",18968695,246,248.9,250
D11042.R1.fq.gz,FASTQ,DNA,"73,610",18324161,247,248.9,250
D11043.R1.fq.gz,FASTQ,DNA,"83,887",20881014,246,248.9,250
D11045.R1.fq.gz,FASTQ,DNA,"84,000",20907486,246,248.9,250
D11048.R1.fq.gz,FASTQ,DNA,"83,792",20854647,246,248.9,250
D11049.R1.fq.gz,FASTQ,DNA,"66,946",16662036,246,248.9,250
D11055.R1.fq.gz,FASTQ,DNA,"79,370",19753637,246,248.9,250
D11058.R1.fq.gz,FASTQ,DNA,"60,054",14946748,247,248.9,250
D11064.R1.fq.gz,FASTQ,DNA,"84,000",20906546,246,248.9,250
